row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc_symbol,CI.L,CI.R
ENSG00000121410,312.5945198683525,0.1313490775573707,0.4190951752790962,0.31341109443672044,0.7539683563783488,0.9427012656783924,A1BG,-0.5580011415383134,0.8206992966530547
ENSG00000148584,47.61965557275188,0.087400642191817493,0.38934740977602195,0.22447983471135985,0.8223839561297078,0.9621452874632149,A1CF,-0.553018856922433,0.7278201413060681
ENSG00000175899,3331.9396477371724,-0.1950703060128898,0.530125865876285,-0.3679697946645999,0.7128957568243575,0.9310961906097642,A2M,-1.0670497592402866,0.6769091472145069
ENSG00000166535,66.53516145371317,-0.06316607200354034,0.4242824732646318,-0.1488774012216683,0.8816503736776443,0.9756379181078981,A2ML1,-0.7610486370048106,0.63471649299773
ENSG00000256069,47.17908097833297,0.5603575914764494,0.3799656074260076,1.474758716380851,0.1402774239261952,0.564812554206389,A2MP1,-0.06463021601503827,1.185345398967937
ENSG00000184389,2.0175260732401283,0.10309904027042108,1.9240190842716696,0.05358524825103221,0.9572656098155734,NA,A3GALT2,-3.0616307288176836,3.2678288093585257
ENSG00000128274,1757.8447225309087,-0.4590728508069459,0.33425237670874897,-1.3734318221675932,0.16961814263148509,0.603519981317136,A4GALT,-1.0088690849534812,0.09072338333958946
ENSG00000118017,13.75270131318731,0.1931798482945499,0.9067831872807958,0.21303863040717091,0.8312968315255783,NA,A4GNT,-1.2983457661628826,1.6847054627519824
ENSG00000094914,964.2559970897346,0.20463380204906775,0.19662804225505265,1.0407152494740834,0.2980077236311721,0.7304247959264917,AAAS,-0.11879054641452277,0.5280581505126583
ENSG00000081760,1108.7955037123386,-0.08972562864436412,0.12203162465168645,-0.7352653781383884,0.4621778892391837,0.8345863234873279,AACS,-0.29044978905547114,0.11099853176674293
ENSG00000250420,25.724474099094795,-0.4709099796040976,0.5261649704801389,-0.8949854247696882,0.3707948794207512,0.7836903786063063,AACSP1,-1.336374339673168,0.39455438046497276
ENSG00000114771,0.5696730899574177,2.4685932501691896,3.0637154601891075,0.8057514747197888,0.4203861627187425,NA,AADAC,-2.5707702364701603,7.50795673680854
ENSG00000197953,0.2949158356236967,1.5298409113681655,4.039510542491546,0.3787193758441261,0.7048962634790252,NA,AADACL2,-5.11456265555776,8.17424447829409
